nĂŠv;vĂĄros;orszĂĄg;magassĂĄg;emelet;ĂŠpĂźlt
Tour du CrĂŠdit Lyonnais;Lyon;FranciaorszĂĄg;165;42;1977
Tour du Midi;BrĂźsszel;Belgium;150;38;1967
Tour EDF;PĂĄrizs;FranciaorszĂĄg;165;41;2001
Tour EgĂŠe;PĂĄrizs;FranciaorszĂĄg;155;40;1999
Tour First;PĂĄrizs;FranciaorszĂĄg;231;50;2011
Tour Gan;PĂĄrizs;FranciaorszĂĄg;179;44;1974
Tour Granite;PĂĄrizs;FranciaorszĂĄg;183;36;2008
Tour Montparnasse;PĂĄrizs;FranciaorszĂĄg;210;59;1972
Tour Pleyel;PĂĄrizs;FranciaorszĂĄg;143;37;1972
Tour T1;PĂĄrizs;FranciaorszĂĄg;185;36;2008
Tour Total;PĂĄrizs;FranciaorszĂĄg;187;48;1985
Tower 42;London;Anglia;183;43;1980
Trianon;Frankfurt;NĂŠmetorszĂĄg;186;45;1993
Triumph - Palace;Moszkva;OroszorszĂĄg;264,1;57;2005
Turning Torso;MalmĂś;SvĂŠdorszĂĄg;190;57;2005
Usce Tower;BelgrĂĄd;Szerbia;141,1;24;2004
Warsaw Financial Center;VarsĂł;LengyelorszĂĄg;144;35;1999
Warsaw Trade Tower;VarsĂł;LengyelorszĂĄg;208;43;1999
West Tower;Liverpool;Anglia;140;40;2007
Westendstrase 1;Frankfurt;NĂŠmetorszĂĄg;208;53;1993
Westpoint Tower;Tilburg;Hollandia;142;48;2004
